,Topic,Time Queried,Title,Video IDs,Published At,Duration,View Count,Like Count,Dislike Count
0,Data Structures,2020-08-21 22:07:13.258744,INTRODUCTION TO DATA STRUCTURES,DFpWCl_49i0,2019-05-08T17:10:01Z,PT8M29S,266926,6301,136
1,Data Structures,2020-08-21 22:07:13.258770,Data Structures Easy to Advanced Course - Full Tutorial from a Google Engineer,RBSGKlAvoiM,2019-09-19T14:39:38Z,PT8H3M17S,1550902,39594,378
2,Data Structures,2020-08-21 22:07:13.258779,Data Structures &amp; Algorithms #1 - What Are Data Structures?,bum_19loj9A,2018-03-12T05:19:30Z,PT16M35S,1206125,23500,389
3,Data Structures,2020-08-21 22:07:13.258786,Introduction to Data Structures &amp; Algorithms,5_5oE5lgrhw,2020-07-30T16:44:15Z,PT31M43S,134381,11054,123
4,Data Structures,2020-08-21 22:07:13.258795,"Arrays, Linked Lists, Stacks, Queues, Trees, Graphs || Data Structures",ytgKbIpddH8,2019-08-06T14:05:40Z,PT1H21M49S,155956,2516,128
5,Data Structures,2020-08-21 22:07:13.258803,#1 What is Data Structure? | Why it is so Important?,jc1t0KFsOcs,2017-12-16T11:20:25Z,PT4M42S,263856,5787,90
6,Data Structures,2020-08-21 22:07:13.258811,What is Data Structures? &amp; Why we need them? DS Real World Example,NzUVn8Y9deQ,2019-02-10T15:00:03Z,PT15M27S,47816,1099,21
7,Data Structures,2020-08-21 22:07:13.258819,Introduction to Data Structures,xLetJpcjHS0,2020-03-30T14:45:06Z,PT11M18S,45151,1115,11
8,Data Structures,2020-08-21 22:07:13.258831,DATA STRUCTURES you MUST know (as a Software Developer),sVxBVvlnJsM,2019-12-24T00:22:56Z,PT7M23S,406341,25786,298
9,Data Structures,2020-08-21 22:07:13.258842,Learn Data Structures in Tamil | programming concepts | Beginner guide | Tamil hacks,6DB_sqokoLk,2020-01-19T14:00:00Z,PT43M45S,6569,304,5
10,Data Structures,2020-08-21 22:07:13.258853,Data Structures Using C/C++ (HINDI/URDU),SAzD-oBcmbk,2015-08-07T15:03:55Z,PT31M33S,431456,5019,285
11,Data Structures,2020-08-21 22:07:13.258860,7.3 Bubble Sort Algorithm| Data Structures,o4bAoo_gFBU,2019-06-08T08:54:50Z,PT35M36S,189245,3637,84
12,Data Structures,2020-08-21 22:07:13.258867,Introduction to Linked List in Data Structures (With Notes),TWMCMvfEAv4,2020-08-11T09:13:37Z,PT25M1S,11075,938,14
13,Data Structures,2020-08-21 22:07:13.258875,DS ALGO v/s Competitive Programming | How to Start? | Resources | Data Structures and Algorithms,IiAL14tIkZY,2020-08-19T06:30:14Z,PT11M38S,14212,1359,35
